Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18171,Playing to Win: Becoming the Champion,David Sirlin,"Sirlin, David",,"=""1411666798""","=""9781411666795""",5,Lulu.com,Paperback,142,2005,2005,,2012/12/26,,,read,,,,1,0
9683910,The Republic (mobi),Plato,"Plato, Plato",Benjamin Jowett,"=""1605018872""","=""9781605018874""",0,MobileReference,Kindle Edition,576,2008,-400,,2012/12/26,to-read,to-read (#34),to-read,,,,0,0
386375,"Thud! (Discworld, #34)",Terry Pratchett,"Pratchett, Terry",,"=""0060815310""","=""9780060815318""",0,HarperTorch,Mass Market Paperback,434,2006,2005,,2012/12/26,to-read,to-read (#37),to-read,,,,0,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",0,HarperTorch,Mass Market Paperback,394,2005,2004,,2012/12/26,to-read,to-read (#33),to-read,,,,0,0
47998,"Hogfather (Discworld, #20)",Terry Pratchett,"Pratchett, Terry",,"=""0061059056""","=""9780061059056""",0,Harper Voyager,Mass Market Paperback,354,1999,1996,,2012/12/26,to-read,to-read (#32),to-read,,,,0,0
116296,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061161640""","=""9780061161643""",0,Harper,Hardcover,394,2007,2007,,2012/12/26,to-read,to-read (#31),to-read,,,,0,0
567656,"Lords and Ladies (Discworld, #14)",Terry Pratchett,"Pratchett, Terry",,"=""0061056928""","=""9780061056925""",0,HarperPrism,Mass Market Paperback,374,1996,1992,,2012/12/26,to-read,to-read (#30),to-read,,,,0,0
1141301,"Jingo (Discworld, #21)",Terry Pratchett,"Pratchett, Terry",,"=""0613572319""","=""9780613572316""",0,Turtleback Books,Library Binding,464,2014,1997,,2012/12/26,to-read,to-read (#29),to-read,,,,0,0
64219,"Maskerade (Discworld, #18)",Terry Pratchett,"Pratchett, Terry",,"=""006105691X""","=""9780061056918""",0,HarperTorch,Mass Market Paperback,358,2004,1995,,2012/12/26,to-read,to-read (#27),to-read,,,,0,0
61653,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,"Pratchett, Terry",,"=""0060012358""","=""9780060012359""",0,Clarion Books,Mass Market Paperback,340,2003,2001,,2012/12/26,to-read,to-read (#26),to-read,,,,0,0
